epoch,train_loss,val_loss,train_acc,val_acc,grad_l2,weight_l2,lr,time_sec
1,0.73437195734797,0.6930764353194204,0.5176384839997695,0.4843537410911249,1.1723467616090897,195.40647588188526,0.001,93.18544459342957
2,0.6899695091622912,0.6845357098546969,0.5377551020408163,0.5537414944901758,0.7274961990607645,195.60483878860973,0.001,84.50415420532227
3,0.6823800978785701,0.6801837431330259,0.5520408163960404,0.5659863950443916,0.8110308973871376,195.75423571840778,0.001,96.18202996253967
4,0.6820180108526358,0.6879950825048953,0.5556851311953352,0.49795918314635346,0.967885971459036,195.96941814680756,0.001,103.55136823654175
5,0.682667424171381,0.6898130844239475,0.5663265306469998,0.5102040811055372,1.0950442426421994,196.2199242805485,0.001,89.00761771202087
6,0.6711641417647938,0.6822949504365726,0.5846938775510204,0.5292517000315141,1.0950322002895405,196.49509164986534,0.001,85.83518099784851
7,0.6696348555234014,0.6853503287244005,0.5874635568860669,0.5455782305626642,1.2965401432261237,196.8499745298246,0.001,85.90044736862183
8,0.6681236834289729,0.6920620668502081,0.5913994169443759,0.5074829927107104,1.4156249918964863,197.1887516478931,0.001,87.86339569091797
9,0.6657885008233629,0.6965809005458339,0.5871720117313174,0.518367346127828,1.4247467244670202,197.52658307000098,0.001,87.68047761917114
10,0.6583182730063057,0.6929583039413504,0.6046647230668248,0.5523809504346783,1.3251679211779768,197.91830983247212,0.001,90.4894380569458
11,0.644971979081457,0.6984458614368828,0.6068513119881077,0.5346938767400728,1.3952897828281674,198.28506477964487,0.001,100.41758942604065
12,0.6431450105617067,0.7022419996813041,0.6202623907053089,0.5210884344821074,1.378158163898176,198.7520803784232,0.001,101.97523760795593
13,0.6408036732465116,0.7006762601891342,0.6119533527696793,0.5537414944901758,1.5041224862813036,199.2087830274008,0.001,91.99104022979736
14,0.6283681705116183,0.6975159880255355,0.626676384874405,0.5428571419651006,1.5421587420399534,199.65993321404565,0.001,85.92092561721802
15,0.6184819322285777,0.7564151427372783,0.6399416910316089,0.5374149652565418,1.6106278962130105,200.11755973127424,0.001,87.77836298942566
16,0.6237022005434286,0.7562894538957246,0.6262390670553936,0.5006802713789907,1.6466070539095865,200.61992158437462,0.001,88.33327198028564
17,0.6063849407451841,0.7389581020997495,0.6494169096209913,0.519727890345515,1.7652593119470483,201.07416997420154,0.001,94.35700607299805
